run_id,dataset,rows,assets,lookback_window,num_weights,batch_size,max_epochs,early_stopping,epochs_completed,early_stopping_triggered,final_actor_loss,final_critic_loss,final_val_critic_loss,runtime_seconds,spo_profit_pa,spo_sharpe,dpo_profit_pa,dpo_sharpe,dpo_annualized_return,dpo_annualized_volatility,dpo_var_5,dpo_avg_turnover,dpo_tc_adjusted_annual_return,status
rows_120,original_paper_subset,120,4,5,8,1,50,True,50.0,False,0.0094216328,0.0100533119,0.001065861,11.579799890518188,0.9882137591699054,2.737777505352953,1.318161286653439,3.458078432881722,1.2572830009031857,0.2314516965835357,0.0123408741087983,0.5584426932036877,1.2050876319654793,ok
rows_240,original_paper_subset,240,4,5,8,1,50,True,24.0,True,0.0130850383,0.0044834614,0.0017494946,11.778506994247437,0.8433844175364154,1.9048915767948864,0.8704397878299264,2.188907789079124,0.8056142477543213,0.2673260041733309,0.0180448948536384,0.9727025624468096,0.7252007177822,ok
rows_600,original_paper_subset,600,4,5,8,1,50,True,19.0,True,-0.0203724543,0.0043737199,0.0020936407,22.55499291419983,0.2003944686780412,0.4261284038721432,-0.1072820864019193,-0.4814845548214309,-0.1527052855041271,0.3224590181952283,0.0283082179927252,0.4711152430137862,-0.1718272767326913,ok
rows_1768,original_paper_subset,1768,4,5,8,1,50,True,12.0,True,0.0006540981,0.0047191327,0.0012369736,42.47939896583557,0.1539928737294944,0.382830190345221,0.045451822862135,0.0110214297142908,0.0156013882194134,0.2407199102400593,0.0251349338837848,0.442687466332323,-0.0064906910609643,ok
lookback_10,original_paper_subset,240,4,10,8,1,50,True,50.0,False,0.2065082353,0.0374135925,0.0178883884,8.264906883239746,1.1087782864211673,3.4329582936784417,1.4147660277150993,4.904143924451056,1.379949654030184,0.1715581415687569,0.0091902885855412,0.6488724052906036,1.3481884125807482,ok
epochs_10_noES,original_paper_subset,240,4,5,8,1,10,False,10.0,False,0.0735889614,0.0222274937,,4.348259925842285,0.8371810992911899,3.0744018773360025,0.3798298787180338,0.9554475860232412,0.3218510308853399,0.2934393082807668,0.0161908934605836,1.0804826279895172,0.2558869929923668,ok
epochs_25_noES,original_paper_subset,240,4,5,8,1,25,False,25.0,False,0.0139372334,0.0044366546,,10.020374059677124,0.850967630167967,1.939310922943391,0.9527528827100956,2.3082475734935897,0.8827279317224701,0.2722105422027204,0.0180154609352217,1.0159638347104192,0.7953376134859949,ok
epochs_50_noES,original_paper_subset,240,4,5,8,1,50,False,50.0,False,0.0145618009,0.0057208411,,20.138473987579346,1.0257186263885043,2.2847816645466312,1.144010738493238,2.6734208309119163,1.0683981664375706,0.270078419594983,0.0152776131574681,0.9439515847091874,0.979238044364271,ok
epochs_100_noES,original_paper_subset,240,4,5,8,1,100,False,100.0,False,0.0349732195,0.0037449283,,40.80640697479248,1.0415339372559211,2.3566691679636276,1.1500872418390111,2.756492550469252,1.078111645571124,0.2629689770095249,0.0150614566886193,0.9147239783778788,0.991201488076229,ok
epochs_100_ES,original_paper_subset,240,4,5,8,1,100,True,24.0,True,0.0130850383,0.0044834614,0.0017494946,10.984638214111328,0.8433844175364154,1.9048915767948864,0.8704397878299264,2.188907789079124,0.8056142477543213,0.2673260041733309,0.0180448948536384,0.9727025624468096,0.7252007177822,ok
assets_10_custom,custom_nonpaper_10,240,10,5,10,1,50,True,50.0,False,-0.0120152967,0.0091626021,0.0019636208,29.24054598808289,5.1932356235049575,3.5773647719708617,36.46647371276034,3.4975562739597614,21.237307706017457,1.0315264430560749,0.0969642032754029,1.3192570863498585,19.95099915617239,ok
batch_4_probe,original_paper_subset,240,4,5,8,4,2,True,,,,,,,,,,,,,,,,"FAILED: ValueError: Provided tensor has shape torch.Size([320]), but input size is configured to 80"
epochs_200_noES,original_paper_subset,240,4,5,8,1,200,False,200.0,False,0.0818137197,0.0240641333,,133.00180101394653,1.09632596623904,2.1969954190239864,1.2005402966985308,2.74730497432455,1.1216070649877907,0.27231711486559196,0.016401938012786842,0.9235163711839252,1.0319968925466876,ok
